death_rate,mrate_sd,mol_rate,id,n_taxa,n_sites
0.836956638,0.618992903,0.641526719,1,20,100
0.55997435,0.102641352,0.686097563,2,20,100
0.063254702,0.195925818,0.527380131,3,20,100
0.539256324,0.781975059,0.134585678,4,20,100
0.754652596,0.764096713,0.059532909,5,20,100
0.155193757,0.576657627,0.0727142,6,20,100
0.299970864,0.155518762,0.217822263,7,20,100
0.763856492,0.124923321,0.619688032,8,20,100
0.152815473,0.379189327,0.271954431,9,20,100
0.270132445,0.705293362,0.195467724,10,20,100
0.389906982,0.838432984,0.692020716,11,20,100
0.511344349,0.337225108,0.107946756,12,20,100
0.316185829,0.08073993,0.085288489,13,20,100
0.677257832,0.839831393,0.31865742,14,20,100
0.186839826,0.153005937,0.745325288,15,20,100
0.309385884,0.136652641,0.563629241,16,20,100
0.690882298,0.457750958,0.49553702,17,20,100
0.670840669,0.438484236,0.754401222,18,20,100
0.394107035,0.790086534,0.860935365,19,20,100
0.183930231,0.748161454,0.936494285,20,20,100
0.823573682,0.327135219,0.444338901,21,20,100
0.076472743,0.793793893,0.68176983,22,20,100
0.630350633,0.431744398,0.152510567,23,20,100
0.070628142,0.768439217,0.189767403,24,20,100
0.495467578,0.160703402,0.958433167,25,20,100
0.837173212,0.750764318,0.667236605,26,20,100
0.287266891,0.954416098,0.105175825,27,20,100
0.761313603,0.949184724,0.672186054,28,20,100
0.819249598,0.198455372,0.406732614,29,20,100
0.569895558,0.28930021,0.787784537,30,20,100
0.069183425,0.793445967,0.907194517,31,20,100
0.830979637,0.209899625,0.729450747,32,20,100
0.475114527,0.304271721,0.952003904,33,20,100
0.226147294,0.327584603,0.78708445,34,20,100
0.895870295,0.14674418,0.835366411,35,20,100
0.221695988,0.888557569,0.266601434,36,20,100
0.495813348,0.255487424,0.464704945,37,20,100
0.621135784,0.765772264,0.268214421,38,20,100
0.93353405,0.334340294,0.944558272,39,20,100
0.802044721,0.914499257,0.287994902,40,20,100
0.662234177,0.674678579,0.06071207,41,20,100
0.549402411,0.211449814,0.90618835,42,20,100
0.610354045,0.529540469,0.065904145,43,20,100
0.177876003,0.446908467,0.669768018,44,20,100
0.252214519,0.063521877,0.770433754,45,20,100
0.290595927,0.50863942,0.870217054,46,20,100
0.383269307,0.673788322,0.923377951,47,20,100
0.572740378,0.658047283,0.371275917,48,20,100
0.061557973,0.396982322,0.063551586,49,20,100
0.309085078,0.920763497,0.880748562,50,20,100
0.073928645,0.864097406,0.656054816,51,20,100
0.128853298,0.031001733,0.384516067,52,20,100
0.37754917,0.694382444,0.440603916,53,20,100
0.735434687,0.736900361,0.31928897,54,20,100
0.277389256,0.140171011,0.098123137,55,20,100
0.936316597,0.632060833,0.340979148,56,20,100
0.597187653,0.759587838,0.714580258,57,20,100
0.569797315,0.322326163,0.194002331,58,20,100
0.250669359,0.380420144,0.951772972,59,20,100
0.40063705,0.200794124,0.344554031,60,20,100
0.566536348,0.214292645,0.330858012,61,20,100
0.436809366,0.421045667,0.609673523,62,20,100
0.594087546,0.760696671,0.941051209,63,20,100
0.385453506,0.943979829,0.744060619,64,20,100
0.390903068,0.907800868,0.455728592,65,20,100
0.262872307,0.424721967,0.493468604,66,20,100
0.618150514,0.798729431,0.451041014,67,20,100
0.679830371,0.065315634,0.650767518,68,20,100
0.840769209,0.217547099,0.885837528,69,20,100
0.933144043,0.711796559,0.854475313,70,20,100
0.803920555,0.276894059,0.044021405,71,20,100
0.339638907,0.909643314,0.52969245,72,20,100
0.762716294,0.489381205,0.191092828,73,20,100
0.17185854,0.901598326,0.525887811,74,20,100
0.504241442,0.300767472,0.649904973,75,20,100
0.380869757,0.744577748,0.793375884,76,20,100
0.111691412,0.486787222,0.910578781,77,20,100
0.351184068,0.506412046,0.151701474,78,20,100
0.805191585,0.363661011,0.26530793,79,20,100
0.867399022,0.312699005,0.163738347,80,20,100
0.265143155,0.89198884,0.409782626,81,20,100
0.060062267,0.07007553,0.380843539,82,20,100
0.236933063,0.318073442,0.517919801,83,20,100
0.65391631,0.807953422,0.659587985,84,20,100
0.067882082,0.145118485,0.584257123,85,20,100
0.832211236,0.66169533,0.916399945,86,20,100
0.610655131,0.376374655,0.626163486,87,20,100
0.521084041,0.608816947,0.074389892,88,20,100
0.68881248,0.227734299,0.872808075,89,20,100
0.531860232,0.579581157,0.603723042,90,20,100
0.445610412,0.498298047,0.888534864,91,20,100
0.426569564,0.798136839,0.101505735,92,20,100
0.479097273,0.581080064,0.167071461,93,20,100
0.398976033,0.28417406,0.451931835,94,20,100
0.503452123,0.315070364,0.426125838,95,20,100
0.746596848,0.840246948,0.756497901,96,20,100
0.060669217,0.69972164,0.488546741,97,20,100
0.294773791,0.586614783,0.649458131,98,20,100
0.869307327,0.38255704,0.462507951,99,20,100
0.194943675,0.238683664,0.071257914,100,20,100
0.477766626,0.510546747,0.577747717,101,20,100
0.380610094,0.261228028,0.347964645,102,20,100
0.767750388,0.85548111,0.579762425,103,20,100
0.93297166,0.646144953,0.963973996,104,20,100
0.34556677,0.876798281,0.137282541,105,20,100
0.215166801,0.170355816,0.601551987,106,20,100
0.405984869,0.091718098,0.763771588,107,20,100
0.565518793,0.127268537,0.913729445,108,20,100
0.460458338,0.383499285,0.340213513,109,20,100
0.716426305,0.249232189,0.163524279,110,20,100
0.329837593,0.956395393,0.476258733,111,20,100
0.103528359,0.304075028,0.071732547,112,20,100
0.510982983,0.804862274,0.73522115,113,20,100
0.883898539,0.524479596,0.906004434,114,20,100
0.168773711,0.477194618,0.073360144,115,20,100
0.837857698,0.897746627,0.662329749,116,20,100
0.214829014,0.417412587,0.935078106,117,20,100
0.620253002,0.211890177,0.319103375,118,20,100
0.122610876,0.514013514,0.131694843,119,20,100
0.228314748,0.877142825,0.573726662,120,20,100
0.689523986,0.347531377,0.859987953,121,20,100
0.921537022,0.108305339,0.625388033,122,20,100
0.224799628,0.659713413,0.904886996,123,20,100
0.703419033,0.052744057,0.774279582,124,20,100
0.629973017,0.663921229,0.713281936,125,20,100
0.579572617,0.703086358,0.610619032,126,20,100
0.05752092,0.395095922,0.690630408,127,20,100
0.159628856,0.641100331,0.555920553,128,20,100
0.502770402,0.447999877,0.074660681,129,20,100
0.940804557,0.484866865,0.084020063,130,20,100
0.680342976,0.27278109,0.407263052,131,20,100
0.912795543,0.5593314,0.056961501,132,20,100
0.386243026,0.37286414,0.382109246,133,20,100
0.437714011,0.69731539,0.446513029,134,20,100
0.895400416,0.526792121,0.154027248,135,20,100
0.623179962,0.068328589,0.196849309,136,20,100
0.17335304,0.345811641,0.736920848,137,20,100
0.804259853,0.197292277,0.146769796,138,20,100
0.333071113,0.415974132,0.242815117,139,20,100
0.135642625,0.737589101,0.949773088,140,20,100
0.605284812,0.087373873,0.094619144,141,20,100
0.712037959,0.500029454,0.332321877,142,20,100
0.52200038,0.373178639,0.425821908,143,20,100
0.839499834,0.767578308,0.518763957,144,20,100
0.751274684,0.810894976,0.335073438,145,20,100
0.785657411,0.577825319,0.578272879,146,20,100
0.058827939,0.152413403,0.341656646,147,20,100
0.568551561,0.300072549,0.892537931,148,20,100
0.753574094,0.891419582,0.733754314,149,20,100
0.612799918,0.405161771,0.565400885,150,20,100
0.056631027,0.351202015,0.777499318,151,20,100
0.325275505,0.041760101,0.890733751,152,20,100
0.484647089,0.66787394,0.180904482,153,20,100
0.550161487,0.574839724,0.89179843,154,20,100
0.579224698,0.29276052,0.054312158,155,20,100
0.829124255,0.211240521,0.672945418,156,20,100
0.602005764,0.042736915,0.789721553,157,20,100
0.107228874,0.102282,0.703764669,158,20,100
0.701509212,0.867487946,0.493016939,159,20,100
0.446907266,0.675348829,0.49042763,160,20,100
0.385920957,0.68068522,0.607969942,161,20,100
0.285432849,0.646801911,0.209827897,162,20,100
0.875378095,0.526406531,0.473501246,163,20,100
0.126794214,0.598262889,0.132102445,164,20,100
0.222787773,0.872502064,0.144743465,165,20,100
0.509151128,0.627464167,0.603453644,166,20,100
0.150140377,0.411743387,0.192649089,167,20,100
0.450208078,0.252405357,0.841381068,168,20,100
0.799174531,0.139928033,0.922337804,169,20,100
0.360420575,0.037748119,0.409970326,170,20,100
0.568010927,0.913249887,0.830768694,171,20,100
0.909533194,0.917386951,0.807524377,172,20,100
0.111825894,0.599974748,0.347723734,173,20,100
0.527078483,0.128869572,0.655600786,174,20,100
0.156507358,0.817857193,0.825285977,175,20,100
0.336304446,0.302020698,0.924606821,176,20,100
0.660309985,0.512294529,0.73854344,177,20,100
0.421793833,0.191400731,0.794518458,178,20,100
0.333801353,0.763417057,0.519827799,179,20,100
0.519541629,0.806236584,0.490706,180,20,100
0.253698777,0.906865051,0.359380041,181,20,100
0.737806804,0.573514946,0.391544533,182,20,100
0.152121075,0.051060936,0.165805395,183,20,100
0.066780095,0.453286798,0.75461578,184,20,100
0.142340849,0.71783979,0.276090076,185,20,100
0.709920494,0.928519393,0.942421062,186,20,100
0.054062174,0.634586198,0.619304465,187,20,100
0.184616326,0.911315896,0.225371479,188,20,100
0.87316533,0.075620296,0.662581833,189,20,100
0.567103061,0.934827296,0.194587575,190,20,100
0.069965559,0.322179024,0.327458796,191,20,100
0.828096785,0.404230709,0.841072807,192,20,100
0.241156266,0.836599867,0.732413211,193,20,100
0.449875761,0.843130433,0.215640067,194,20,100
0.286778803,0.948487726,0.568106608,195,20,100
0.389279574,0.853386177,0.598743978,196,20,100
0.259064182,0.246315455,0.158657918,197,20,100
0.337726878,0.423143456,0.118169969,198,20,100
0.808022383,0.039216325,0.275690761,199,20,100
0.69533125,0.267031669,0.573532517,200,20,100
0.575129432,0.277310396,0.148852109,201,20,100
0.916915853,0.201712676,0.438333547,202,20,100
0.292637487,0.316911937,0.528230446,203,20,100
0.086100174,0.388138474,0.587229616,204,20,100
0.473493341,0.324901068,0.230424729,205,20,100
0.178668625,0.589226768,0.255904776,206,20,100
0.765156237,0.041338643,0.396621895,207,20,100
0.422771441,0.040514672,0.632982512,208,20,100
